Aircraft Registration,Trax,Non-Routine/ Complaint/ WO Number,.pdf Document Name,Reported Date,ATA,Sub-ATA,Section,To Section,Station,Plus,mm/ Inch,To Station,Plus,mm/ Inch,Stringer,Plus,mm/ Inch,To Stringer,Plus,mm/ Inch,Water Line,To Water Line,Buttock Line,To Buttock Line,Damage Type,Component,Component,In Limits,In Limits Acc. Maint Data,Repair Performed,Repair Type,Repair Maintenance Data,Dimension:,mm/ Inch,Dimension,mm/ Inch,,mm/ Inch,Blend Repair,Blend Width,mm/ Inch,Blend Length,mm/ Inch,Blend Remaining Thickness,mm/ Inch,"Repair Status (A,B,C, N/A)",Major Repair,
,Defect Report Number,(MRO's reference number),,,,,,,,,,,,,,,,,,,,,,,,PN,SN,IN/OUT,,Y/N,,,(L) ,,(W) ,,Dimension,,Y/N,,,,,,,,Y/N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Y),,,,,,,,,,,
PH-HSG,,5760649-2-1 (Hole 23),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 24),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 25),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 26),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 27),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 28),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 29),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 30),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 31),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 32),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760651-1,WO 5760651,4/3/2022,55,10,HOR STAB R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH-HSG,,5760666-1,WO 5760666,4/3/2022,55,10,,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,,RDR No CZT-TAV-22-0123-10B,,,,,,,,,,,,,,CAT-A,N,Seal requires replacing at next C check.
PH-HSG,,5760668-1-1 (Hole 1),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 2),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 3),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 4),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 5),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 6),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 7),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 8),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 9),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 10),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 11),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 12),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 13),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 14),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 15),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 16),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 17),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 18),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 19),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 20),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 21),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 22),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 23),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 24),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 25),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-1-1 (Hole 26),WO 5760668-1,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0113-03C FAA 8100-9,,,,,,,,,,,,,,CAT-B,N,Stage 1 and 2 only
PH-HSG,,5760668-2-1,WO 5760668-2,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,CZT-TAV-22-0115-02B FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,Stage 1 and 2 only
PH-HSG,,5760670-1 (Hole 1),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FASTENER REPLACEMENT,,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 2),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FASTENER REPLACEMENT,,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 3),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,RDR CZT-TAV-22-0116-04B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 4),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,SRM 55-10-13 Repair 3,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 5),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,SRM 55-10-13 Repair 3,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 6),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,SRM 55-10-13 Repair 3,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 7),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,SRM 55-10-13 Repair 3,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 8),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FASTENER REPLACEMENT,,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 9),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FASTENER REPLACEMENT,,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 10),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FASTENER REPLACEMENT,,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 11),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FASTENER REPLACEMENT,,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 12),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,SRM 55-10-13 Repair 3,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 13),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,SRM 55-10-13 Repair 3,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 14),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FASTENER REPLACEMENT,,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760670-1 (Hole 15),WO 5760670,4/3/2022,55,10,HOR STAB L,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A1000-45,SAMC0002310,OUT,,Y,FREEZE PLUG,SRM 55-10-13 Repair 3,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760699-1 (Dent 1),WO 5760699,4/3/2022,57,42,WING RH,,SLAT-5,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,6,mm,6,mm,"0,041",mm,,,,,,,,,,49mm from TE and 1000mm from Inboard Slat Edge
PH-HSG,,5760699-1 (Dent 2),WO 5760699,4/3/2022,57,42,WING RH,,SLAT-5,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,"0,034",mm,"0,034",mm,"0,034",mm,,,,,,,,,,49mm from TE and 1000mm from Inboard Slat Edge
PH-HSG,,5760699-1 (Dent 3),WO 5760699,4/3/2022,57,42,WING RH,,SLAT-5,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,8,mm,8,mm,"0,055",mm,,,,,,,,,,49mm from TE and 1000mm from Inboard Slat Edge
PH-HSG,,5760699-1 (Dent 4),WO 5760699,4/3/2022,57,42,WING RH,,SLAT-5,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,6,mm,6,mm,"0,060",mm,,,,,,,,,,49mm from TE and 1000mm from Inboard Slat Edge
PH-HSG,,5760701-1,WO 5760701,4/3/2022,57,42,WING RH,,SLAT-6,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,9,mm,9,mm,"0,024",mm,,,,,,,,,,107mm from TE and 1955mm from Inboard Slat Edge
PH-HSG,,5760702-1,WO 5760702,4/3/2022,57,42,WING RH,,SLAT-8,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,19,mm,19,mm,"0,063",mm,,,,,,,,,,78mm from TE and 3080mm from Inboard Slat Edge
PH-HSG,,5760782-1,WO 5760782,4/3/2022,57,70,WING RH,,SPOILER-11,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-70-01 AD 1,N,DENT (IN LIMITS),,11,mm,11,mm,"0,043",mm,,,,,,,,,,172mm from TE and 390mm from Inboard side of Spoiler edge
PH-HSG,,5760843-1,WO 5760843,4/3/2022,54,,NAC RH,,,,,,,,,,,,,,,,,,CRACK,315A2295-244,4600,OUT,,Y,,737-SL-78-050,5.3,mm,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760981-1,WO 5760981,4/3/2022,54,,NAC RH,,,,,,,,,,,,,,,,,,CRACK,315A2295-245,4597,OUT,,Y,,737-SL-78-050,7,mm,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760982-1 (Crack 1),WO 5760982,4/3/2022,54,,NAC RH,,,,,,,,,,,,,,,,,,CRACK,315A2295-245,4597,OUT,,Y,,737-SL-78-050,6.4,mm,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760982-1 (Crack 2),WO 5760982,4/3/2022,54,,NAC RH,,,,,,,,,,,,,,,,,,CRACK,315A2295-245,4597,OUT,,Y,,737-SL-78-050,17.3,mm,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5761031-1,WO 5761031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH-HSG,,5761069-1,WO 576169,5/3/2022,57,,WING RH,,,,,,,,,,,,,,,,,,DELAM,,,,,,,,,,,,,,,,,,,,,,,Panel 644EB
PH-HSG,,5761183-1-1,WO 5761183-1,5/3/2022,57,,WING RH,,,,,,,,,,,,,,,,,,WEAR,,,,,,,,,,,,,,,,,,,,,,,Panel 661BB
PH-HSG,,5761183-2-1,WO 5761183-2,5/3/2022,57,,WING RH,,,,,,,,,,,,,,,,,,WEAR,,,,,,,,,,,,,,,,,,,,,,,Panel 661CB
PH-HSG,,5761217-1,WO 5761217,5/3/2022,53,,44,,,,,,,,,,,,,,,,,,CRACK,,,OUT,,Y,COMPOSITE REPAIR,SRM 51-70-04 Repair 10,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5761439-1 (Dent 1),WO 5761439,07/03/20222,57,42,WING LH,,SLAT-1,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,6,mm,6,mm,"0,015",mm,,,,,,,,,,160mm from TE and 3000mm from Inboard Slat Edge
PH-HSG,,5761439-1 (Dent 2),WO 5761439,07/03/20222,57,42,WING LH,,SLAT-1,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,7,mm,7,mm,"0,020",mm,,,,,,,,,,95mm from TE and 1240mm from Inboard Slat Edge
PH-HSG,,5761443-1 (Dent 1),WO 5761443,07/03/20222,57,42,WING LH,,SLAT-2,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,8,mm,8,mm,"0,048",mm,,,,,,,,,,110mm from TE and 1790mm from Inboard Slat Edge
PH-HSG,,5761443-1 (Dent 1),WO 5761443,07/03/20222,57,42,WING LH,,SLAT-2,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,6,mm,6,mm,"0,020",mm,,,,,,,,,,113mm from TE and 2205mm from Inboard Slat Edge
PH-HSG,,5761443-1 (Dent 3),WO 5761443,07/03/20222,57,42,WING LH,,SLAT-2,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,6,mm,6,mm,"0,025",mm,,,,,,,,,,135mm from TE and 2735mm from Inboard Slat Edge
PH-HSG,,5761443-1 (Dent 4),WO 5761443,07/03/20222,57,42,WING LH,,SLAT-2,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,6,mm,6,mm,"0,017",mm,,,,,,,,,,48mm from TE and 2950mm from Inboard Slat Edge
PH-HSG,,5761445-1 (Dent 1),WO 5761445,07/03/20222,57,42,WING LH,,SLAT-3,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,7,mm,7,mm,"0,015",mm,,,,,,,,,,98mm from TE and 230mm from Inboard Slat Edge
PH-HSG,,5761445-1 (Dent 2),WO 5761445,07/03/20222,57,42,WING LH,,SLAT-3,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,8,mm,8,mm,"0,028",mm,,,,,,,,,,95mm from TE and 2360mm from Inboard Slat Edge
PH-HSG,,5761446-1 (Dent 1),WO 5761446,07/03/20222,57,42,WING LH,,SLAT-4,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,6,mm,6,mm,"0,018",mm,,,,,,,,,,62mm from TE and 1250mm from Inboard Slat Edge
PH-HSG,,5761446-1 (Dent 2),WO 5761446,07/03/20222,57,42,WING LH,,SLAT-4,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,8,mm,8,mm,"0,024",mm,,,,,,,,,,100mm from TE and 2570mm from Inboard Slat Edge
PH-HSG,,5761446-1 (Dent 3),WO 5761446,07/03/20222,57,42,WING LH,,SLAT-4,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,7,mm,7,mm,"0,027",mm,,,,,,,,,,50mm from TE and 2650mm from Inboard Slat Edge
PH-HSG,,5761446-1 (Dent 4),WO 5761446,07/03/20222,57,42,WING LH,,SLAT-4,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-42-01 AD 1,N,DENT (IN LIMITS),,6,mm,6,mm,"0,013",mm,,,,,,,,,,115mm from TE and 2725mm from Inboard Slat Edge
PH-HSG,,5761450-1,WO 5761450,07/03/20222,57,42,WING RH,,SLAT-6,,,,,,,,,,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 57-42-01 AD 1,,,,,,,Y,,mm,,mm,,mm,CAT-A,N,360mm from TE and 1370mm from Inboard Slat Edge
PH-HSG,,5762027-1-1,WO 5762027-1,8/3/2022,57,42,WING LH,,SLAT-1,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,COMPOSITE REPAIR,SRM 57-41-01 Repair 1,,,,,,,,,,,,,,CAT-A,N,Fixed LE composite panel
PH-HSG,,5762027-2-1,WO 5762027-2,8/3/2022,57,42,WING LH,,SLAT-2,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,COMPOSITE REPAIR,SRM 57-41-01 Repair 1,,,,,,,,,,,,,,CAT-A,N,Fixed LE composite panel
PH-HSG,,5762029-1-1,WO 5762029-1,8/3/2022,57,42,WING RH,,SLAT-6,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,COMPOSITE REPAIR,SRM 57-41-01 Repair 1,,,,,,,,,,,,,,CAT-A,N,Fixed LE composite panel
PH-HSG,,5762029-2-1,WO 5762029-2,8/3/2022,57,42,WING RH,,SLAT-7 ,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,COMPOSITE REPAIR,SRM 57-41-01 Repair 1,,,,,,,,,,,,,,CAT-A,N,Fixed LE composite panel
PH-HSG,,5762054-1 (Panel 532DB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.98,mm,CAT-A,N,
